Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Angel Zerpa","KCR",0.31378299120234604,1.627272727,0.183615819,0.505649717,0.310734463,0.063636363,0.163636363,706,1227,1933,0.3816156,0.33983287,0.27855153,0.11977716,0.50696379,0.37325905,"Angel Zerpa",22717,672582
"Ryan Sherriff","- - -",0.3050847457627119,1.35,0.20338983,0.457627118,0.33898305,0.05,0,115,182,297,0.42372881,0.28813559,0.28813559,0.16949153,0.45762712,0.37288136,"Ryan Sherriff",12249,595411
"James Paxton","- - -",0.2859060402684564,0.79494382,0.1870229,0.36005089,0.452926208,0.129213483,0.140449438,1840,3246,5086,0.36649874,0.33879093,0.29471033,0.16372796,0.46347607,0.37279597,"James Paxton",11828,572020
"Devin Smeltzer","- - -",0.2620320855614973,0.910714285,0.181122448,0.390306122,0.428571428,0.101190476,0.136904761,658,1275,1933,0.45843829,0.31738035,0.22418136,0.13853904,0.48866499,0.37279597,"Devin Smeltzer",19487,656970
"Ty Buttrey","LAA",0.32903225806451614,1.952380952,0.229813664,0.50931677,0.260869565,0.166666666,0.142857142,305,576,881,0.37267081,0.27329193,0.35403727,0.1552795,0.47204969,0.37267081,"Ty Buttrey",14719,621142
"Fraser Ellard","CHW",0.14583333333333334,0.88,0.078431372,0.431372549,0.490196078,0.16,0.12,174,247,421,0.41176471,0.2745098,0.31372549,0.19607843,0.43137255,0.37254902,"Fraser Ellard",29530,686642
"Yusei Kikuchi","- - -",0.31524303916941954,1.141304347,0.208128628,0.422063421,0.369807949,0.077294685,0.166666666,4889,8485,13374,0.42091272,0.32786885,0.25121843,0.1369074,0.49136021,0.37173239,"Yusei Kikuchi",20633,579328
"Ben Heller","- - -",0.3333333333333333,1.222222222,0.142857142,0.471428571,0.385714285,0.111111111,0.148148148,165,273,438,0.3,0.4,0.3,0.14285714,0.48571429,0.37142857,"Ben Heller",15100,621294
"Adam Plutko","- - -",0.27124183006535946,0.613496932,0.207831325,0.301204819,0.490963855,0.159509202,0.171779141,672,1128,1800,0.35329341,0.35928144,0.28742515,0.17664671,0.45209581,0.37125749,"Adam Plutko",15846,592644
"Tyler Alexander","- - -",0.3074295473953886,0.77037037,0.220863895,0.339038304,0.440097799,0.088888888,0.124074074,2160,4210,6370,0.3807599,0.35489086,0.26434923,0.15117219,0.4777688,0.37105901,"Tyler Alexander",17735,641302
