Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Luis Severino","- - -",7.4605512619018555,-3.4512459337711334,5.437248297035694,-0.03507758677005768,-19.41856348514557,,,0.15497613755508632,-0.15257497496777778,0.5223101149890196,-3.507758677005768,-1.773384793163979,,,"Luis Severino",15890,622663
"Ryne Stanek","- - -",21.460647240281105,0.860824316740036,,,,0.14288997650146484,,0.5657961307746139,0.0623785736768142,,,,0.011154564910340737,,"Ryne Stanek",15947,592773
"Carlos Rodón","- - -",45.05583941936493,34.179182194173336,-2.9241562094539404,-8.80537760257721,5.430796463042498,,,0.606404299049326,0.8827268128660468,-2.7328562705177015,-1.32014656710303,0.3868088648890668,,,"Carlos Rodon",16137,607074
"Aaron Nola","PHI",28.323274850845337,,-7.741692662239075,41.055461406707764,-2.6355701573193073,,,0.315088161651411,,-0.875757088488583,0.7370818924004985,-0.09116465435210333,,,"Aaron Nola",16149,605400
"Brandon Woodruff","MIL",84.45453548431396,3.5990808606147766,3.229708433151245,3.897801250219345,17.623841404914856,,,1.294124049713668,0.3065656610404409,2.1388797570538047,0.3855391938891538,1.0471682355861471,,,"Brandon Woodruff",16162,605540
"Spencer Turnbull","- - -",4.996337056159973,10.999814011156559,,-8.350756920874119,-1.3523729890584946,,,0.13729972674251092,0.7644068110602196,,-1.4858998079847185,-0.3831084954839928,,,"Spencer Turnbull",16207,605513
"Kyle Freeland","COL",-55.21350121498108,-23.087955713272095,-5.292860627174377,-1.2235223464667797,-36.114569425582886,,,-0.8761266457470815,-0.8454029920641558,-0.560684388471862,-0.048726497270680194,-1.9996993037421311,,,"Kyle Freeland",16256,607536
"Aaron Bummer","- - -",20.173236906528473,14.838152073323727,-0.7241036891937256,1.4981140494346619,-0.2880126014351845,,,0.6103853829509371,1.0012248362566618,-0.15707238377304242,0.4354982701844947,-0.9600420047839483,,,"Aaron Bummer",16258,607481
"John Means","BAL",4.985325276851654,5.736171931028366,,-0.8373648263514042,24.87785729765892,,,0.15652512643176308,0.7188185377228529,,-0.11549859673812472,1.352057461829289,,,"John Means",16269,607644
"Tyler Mahle","- - -",20.710637003183365,-7.392206057906151,-0.7892009168863297,-0.662256270647049,,14.572733908891678,,0.37437883230627916,-0.40483056176923066,-0.1342178430078792,-0.12884363242160485,,0.7546729108695847,,"Tyler Mahle",16358,641816
