"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Candelario, Jeimer",600869,"CHC","SI","Sinker",0.7,2,"264",11.3,"69","0.333","0.583","0.43",11.8,13,15.5,"0.284","0.48","0.373",58.8
"Marte, Ketel",606466,"AZ","FC","Cutter",0.8,2,"257",10.4,"69","0.234","0.453","0.346",16.4,11.6,17.8,"0.259","0.468","0.336",33.9
"Judge, Aaron",592450,"NYY","SL","Slider",2,6,"321",16.9,"69","0.233","0.583","0.385",42.7,33.3,25.3,"0.253","0.687","0.426",54.1
"Yoshida, Masataka",807799,"BOS","SL","Slider",-0.4,-1,"295",13.4,"69","0.222","0.397","0.291",29.5,21.7,14.9,"0.232","0.357","0.28",51
"Freeman, Freddie",518692,"LAD","FC","Cutter",0.1,0,"261",9.5,"69","0.3","0.367","0.336",21.4,21.7,27.3,"0.274","0.39","0.329",23.9
"Ward, Taylor",621493,"LAA","SL","Slider",-1,-3,"308",18.9,"69","0.167","0.283","0.238",26.4,26.1,19.4,"0.195","0.296","0.261",45.5
"Duvall, Adam",594807,"BOS","SI","Sinker",-1.2,-3,"251",18.8,"69","0.19","0.397","0.29",10.2,17.4,25.5,"0.248","0.469","0.337",29.4
"Laureano, Ramón",657656,"CLE","SI","Sinker",-2.3,-6,"260",15.7,"69","0.22","0.271","0.286",20.2,20.3,24.6,"0.223","0.307","0.297",40
"Vargas, Miguel",678246,"LAD","SI","Sinker",0.2,1,"260",21.6,"69","0.207","0.431","0.349",11,8.7,10.3,"0.256","0.447","0.363",32.7
"Lowe, Nathaniel",663993,"TEX","CU","Curveball",0.6,2,"321",10.5,"68","0.226","0.355","0.279",25.8,25,15.3,"0.222","0.398","0.292",41.3
"Benintendi, Andrew",643217,"CWS","SI","Sinker",1,3,"289",12.3,"68","0.273","0.4","0.359",10.8,10.3,10.1,"0.313","0.416","0.38",26.5
"Yoshida, Masataka",807799,"BOS","CH","Changeup",0.9,3,"289",13.2,"68","0.274","0.5","0.381",26.6,11.8,9.5,"0.272","0.478","0.354",33.3
"Taylor, Michael A.",572191,"MIN","SI","Sinker",-0.6,-2,"251",16.4,"68","0.286","0.524","0.37",21.7,23.5,31.4,"0.259","0.408","0.316",38.3
"Marsh, Brandon",669016,"PHI","SI","Sinker",0.6,2,"266",13.4,"68","0.298","0.333","0.351",18.3,19.1,15.5,"0.277","0.345","0.336",46.7
"Happ, Ian",664023,"CHC","FC","Cutter",2.7,8,"276",9.6,"68","0.321","0.604","0.428",21.8,25,23.6,"0.322","0.582","0.425",53.8
