Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jerry Blevins","ATL",0.24390243902439024,0.55,0.243902439,0.268292682,0.487804878,0.1,0.05,95,178,273,0.4047619,0.35714286,0.23809524,0.35714286,0.33333333,0.30952381,"Jerry Blevins",7841,460283
"Matt Barnes","BOS",0.3333333333333333,1.692307692,0.166666666,0.523809523,0.309523809,0,0.23076923,232,325,557,0.47619048,0.26190476,0.26190476,0.11904762,0.57142857,0.30952381,"Matt Barnes",12863,598264
"Wei-Chung Wang","- - -",0.24390243902439024,0.736842105,0.214285714,0.333333333,0.452380952,0.157894736,0.052631578,80,141,221,0.45238095,0.28571429,0.26190476,0.21428571,0.47619048,0.30952381,"Wei-Chung Wang",14382,623913
"Bryan Shaw","COL",0.23157894736842105,1.74074074,0.229166666,0.489583333,0.28125,0.074074074,0.074074074,204,304,508,0.34020619,0.42268041,0.2371134,0.13402062,0.55670103,0.30927835,"Bryan Shaw",8110,543766
"Jace Fry","CHW",0.2909090909090909,4.25,0.222222222,0.629629629,0.148148148,0.125,0,200,254,454,0.50909091,0.29090909,0.2,0.16363636,0.52727273,0.30909091,"Jace Fry",16159,605240
"Josh Osich","CHW",0.18421052631578946,1.24137931,0.1875,0.45,0.3625,0.068965517,0.172413793,150,291,441,0.4691358,0.25925926,0.27160494,0.22222222,0.4691358,0.30864198,"Josh Osich",11528,592612
"Brad Boxberger","KCR",0.2894736842105263,1.153846153,0.263157894,0.394736842,0.342105263,0,0.076923076,81,161,242,0.48717949,0.23076923,0.28205128,0.17948718,0.51282051,0.30769231,"Brad Boxberger",10133,502202
"Cory Gearrin","- - -",0.3050847457627119,1.578947368,0.209677419,0.483870967,0.306451612,0,0.157894736,138,209,347,0.40322581,0.40322581,0.19354839,0.14516129,0.5483871,0.30645161,"Cory Gearrin",7947,518715
"Erik Swanson","SEA",0.25,0.969696969,0.235294117,0.376470588,0.388235294,0.09090909,0.272727272,167,293,460,0.41176471,0.29411765,0.29411765,0.09411765,0.6,0.30588235,"Erik Swanson",16587,657024
"Brad Hand","CLE",0.3055555555555556,0.714285714,0.314285714,0.285714285,0.4,0.071428571,0,92,173,265,0.33333333,0.36111111,0.30555556,0.19444444,0.5,0.30555556,"Brad Hand",9111,543272
"Tyler Olson","CLE",0.3333333333333333,1.153846153,0.222222222,0.416666666,0.361111111,0.076923076,0,88,146,234,0.36111111,0.38888889,0.25,0.27777778,0.41666667,0.30555556,"Tyler Olson",14741,621397
"Fernando Rodney","- - -",0.36363636363636365,1.454545454,0.217391304,0.463768115,0.318840579,0.09090909,0.136363636,158,277,435,0.28985507,0.30434783,0.4057971,0.15942029,0.53623188,0.30434783,"Fernando Rodney",494,407845
"Zack Britton","NYY",0.2727272727272727,13,0.151515151,0.787878787,0.06060606,0,0,106,182,288,0.48484848,0.39393939,0.12121212,0.3030303,0.39393939,0.3030303,"Zack Britton",3240,502154
"Wander Suero","WSN",0.375,1.826086956,0.315789473,0.442105263,0.242105263,0.04347826,0,221,381,602,0.375,0.33333333,0.29166667,0.1875,0.51041667,0.30208333,"Wander Suero",15855,593833
"Mychal Givens","BAL",0.30357142857142855,1.25,0.285714285,0.396825396,0.317460317,0.05,0.35,167,273,440,0.36507937,0.3968254,0.23809524,0.11111111,0.58730159,0.3015873,"Mychal Givens",10430,571710
"Craig Stammen","SDP",0.22935779816513763,1.45,0.132743362,0.513274336,0.3539823,0.075,0.1,188,347,535,0.39823009,0.37168142,0.2300885,0.17699115,0.52212389,0.30088496,"Craig Stammen",7274,489334
"Jose Alvarez","PHI",0.25287356321839083,2.217391304,0.168539325,0.573033707,0.258426966,0.04347826,0.173913043,157,319,476,0.35555556,0.34444444,0.3,0.14444444,0.55555556,0.3,"Jose Alvarez",5358,501625
"David Phelps","- - -",0.3333333333333333,0.642857142,0.233333333,0.3,0.466666666,0.071428571,0.214285714,82,128,210,0.33333333,0.43333333,0.23333333,0.13333333,0.56666667,0.3,"David Phelps",6316,475479
"Kyle Ryan","CHC",0.3,2.5,0.2,0.571428571,0.228571428,0.0625,0,147,242,389,0.44285714,0.31428571,0.24285714,0.2,0.5,0.3,"Kyle Ryan",11753,594986
"Paul Fry","BAL",0.25675675675675674,1.346153846,0.207792207,0.454545454,0.337662337,0,0.23076923,181,285,466,0.3125,0.3625,0.325,0.1625,0.5375,0.3,"Paul Fry",15832,643316
"Matt Albers","MIL",0.2641509433962264,0.8,0.210526315,0.350877192,0.438596491,0.12,0.16,136,192,328,0.42105263,0.33333333,0.24561404,0.15789474,0.54385965,0.29824561,"Matt Albers",4300,458006
"Roenis Elías","- - -",0.38095238095238093,0.65,0.266666666,0.288888888,0.444444444,0.15,0.25,100,172,272,0.34042553,0.34042553,0.31914894,0.10638298,0.59574468,0.29787234,"Roenis Elias",12673,606273
